time,REV
2025-09-09T00:00:00.000Z,"$1,825,519.41"
2025-09-08T00:00:00.000Z,"$1,751,923.62"
2025-09-07T00:00:00.000Z,"$1,384,979.83"
2025-09-06T00:00:00.000Z,"$1,377,319.04"
2025-09-05T00:00:00.000Z,"$1,886,289.74"
2025-09-04T00:00:00.000Z,"$1,949,540.61"
2025-09-03T00:00:00.000Z,"$2,263,216.67"
2025-09-02T00:00:00.000Z,"$2,274,037.17"
2025-09-01T00:00:00.000Z,"$1,953,373.78"
2025-08-31T00:00:00.000Z,"$1,467,925.72"
2025-08-30T00:00:00.000Z,"$1,623,401.60"
2025-08-29T00:00:00.000Z,"$2,613,020.67"
2025-08-28T00:00:00.000Z,"$2,636,432.62"
2025-08-27T00:00:00.000Z,"$3,111,775.31"
2025-08-26T00:00:00.000Z,"$2,348,980.26"
2025-08-25T00:00:00.000Z,"$2,325,346.06"
2025-08-24T00:00:00.000Z,"$2,085,016.70"
2025-08-23T00:00:00.000Z,"$1,811,013.68"
2025-08-22T00:00:00.000Z,"$2,472,514.78"
2025-08-21T00:00:00.000Z,"$3,075,578.11"
2025-08-20T00:00:00.000Z,"$1,991,801.81"
2025-08-19T00:00:00.000Z,"$2,200,574.10"
2025-08-18T00:00:00.000Z,"$2,307,258.05"
2025-08-17T00:00:00.000Z,"$1,754,141.42"
2025-08-16T00:00:00.000Z,"$2,051,193.77"
2025-08-15T00:00:00.000Z,"$2,635,767.14"
2025-08-14T00:00:00.000Z,"$3,842,935.30"
2025-08-13T00:00:00.000Z,"$3,774,874.29"
2025-08-12T00:00:00.000Z,"$3,504,230.84"
2025-08-11T00:00:00.000Z,"$3,248,970.77"
2025-08-10T00:00:00.000Z,"$2,406,350.44"
2025-08-09T00:00:00.000Z,"$2,683,624.30"
2025-08-08T00:00:00.000Z,"$3,049,197.45"
2025-08-07T00:00:00.000Z,"$3,361,493.91"
2025-08-06T00:00:00.000Z,"$2,700,891.72"
2025-08-05T00:00:00.000Z,"$2,835,957.97"
2025-08-04T00:00:00.000Z,"$2,468,877.02"
2025-08-03T00:00:00.000Z,"$1,719,925.51"
2025-08-02T00:00:00.000Z,"$1,563,754.05"
2025-08-01T00:00:00.000Z,"$2,173,439.57"
2025-07-31T00:00:00.000Z,"$2,687,818.59"
2025-07-30T00:00:00.000Z,"$2,734,514.86"
2025-07-29T00:00:00.000Z,"$2,752,188.82"
2025-07-28T00:00:00.000Z,"$3,002,366.87"
2025-07-27T00:00:00.000Z,"$2,071,096.94"
2025-07-26T00:00:00.000Z,"$2,297,242.26"
2025-07-25T00:00:00.000Z,"$2,552,269.35"
2025-07-24T00:00:00.000Z,"$3,330,228.10"
2025-07-23T00:00:00.000Z,"$3,256,456.40"
2025-07-22T00:00:00.000Z,"$3,803,138.30"
2025-07-21T00:00:00.000Z,"$3,372,005.81"
2025-07-20T00:00:00.000Z,"$2,598,946.76"
2025-07-19T00:00:00.000Z,"$2,287,430.07"
2025-07-18T00:00:00.000Z,"$4,091,280.71"
2025-07-17T00:00:00.000Z,"$3,969,607.83"
2025-07-16T00:00:00.000Z,"$3,968,112.18"
2025-07-15T00:00:00.000Z,"$3,202,050.43"
2025-07-14T00:00:00.000Z,"$3,216,037.92"
2025-07-13T00:00:00.000Z,"$1,986,730.81"
2025-07-12T00:00:00.000Z,"$1,982,279.92"
2025-07-11T00:00:00.000Z,"$2,622,296.35"
2025-07-10T00:00:00.000Z,"$2,861,517.25"
2025-07-09T00:00:00.000Z,"$2,478,558.95"
2025-07-08T00:00:00.000Z,"$2,671,570.35"
2025-07-07T00:00:00.000Z,"$2,770,797.74"
2025-07-06T00:00:00.000Z,"$2,661,956.56"
2025-07-05T00:00:00.000Z,"$2,258,533.63"
2025-07-04T00:00:00.000Z,"$2,009,636.37"
2025-07-03T00:00:00.000Z,"$2,628,345.93"
2025-07-02T00:00:00.000Z,"$2,571,546.51"
2025-07-01T00:00:00.000Z,"$2,330,049.56"
2025-06-30T00:00:00.000Z,"$2,521,024.72"
2025-06-29T00:00:00.000Z,"$1,633,708.74"
2025-06-28T00:00:00.000Z,"$1,798,196.48"
2025-06-27T00:00:00.000Z,"$2,090,681.68"
2025-06-26T00:00:00.000Z,"$2,151,371.53"
2025-06-25T00:00:00.000Z,"$2,432,152.43"
2025-06-24T00:00:00.000Z,"$1,973,041.59"
2025-06-23T00:00:00.000Z,"$1,775,536.82"
2025-06-22T00:00:00.000Z,"$1,554,554.11"
2025-06-21T00:00:00.000Z,"$1,687,108.96"
2025-06-20T00:00:00.000Z,"$1,824,324.85"
2025-06-19T00:00:00.000Z,"$2,091,785.74"
2025-06-18T00:00:00.000Z,"$1,964,830.96"
2025-06-17T00:00:00.000Z,"$1,919,431.53"
2025-06-16T00:00:00.000Z,"$2,793,481.54"
2025-06-15T00:00:00.000Z,"$1,592,920.27"
2025-06-14T00:00:00.000Z,"$1,549,983.18"
2025-06-13T00:00:00.000Z,"$2,060,574.70"
2025-06-12T00:00:00.000Z,"$2,119,060.07"
2025-06-11T00:00:00.000Z,"$2,424,081.73"
2025-06-10T00:00:00.000Z,"$2,321,151.25"
2025-06-09T00:00:00.000Z,"$2,287,625.92"
2025-06-08T00:00:00.000Z,"$1,650,119.02"
2025-06-07T00:00:00.000Z,"$1,720,055.71"
2025-06-06T00:00:00.000Z,"$2,361,749.06"
2025-06-05T00:00:00.000Z,"$3,224,233.65"
2025-06-04T00:00:00.000Z,"$2,165,080.80"
2025-06-03T00:00:00.000Z,"$2,675,133.63"
2025-06-02T00:00:00.000Z,"$2,381,942.14"
2025-06-01T00:00:00.000Z,"$1,901,274.31"
2025-05-31T00:00:00.000Z,"$1,795,693.84"
2025-05-30T00:00:00.000Z,"$2,145,844.13"
2025-05-29T00:00:00.000Z,"$2,614,808.60"
2025-05-28T00:00:00.000Z,"$2,646,390.81"
2025-05-27T00:00:00.000Z,"$2,909,733.25"
2025-05-26T00:00:00.000Z,"$2,949,963.71"
2025-05-25T00:00:00.000Z,"$2,294,074.01"
2025-05-24T00:00:00.000Z,"$2,262,996.38"
2025-05-23T00:00:00.000Z,"$3,620,076.08"
2025-05-22T00:00:00.000Z,"$4,360,028.11"
2025-05-21T00:00:00.000Z,"$3,909,740.05"
2025-05-20T00:00:00.000Z,"$3,927,486.72"
2025-05-19T00:00:00.000Z,"$3,583,806.12"
2025-05-18T00:00:00.000Z,"$3,431,783.91"
2025-05-17T00:00:00.000Z,"$3,880,397.81"
2025-05-16T00:00:00.000Z,"$4,801,575.41"
2025-05-15T00:00:00.000Z,"$6,501,504.47"
2025-05-14T00:00:00.000Z,"$8,351,012.04"
2025-05-13T00:00:00.000Z,"$7,961,901.28"
2025-05-12T00:00:00.000Z,"$5,366,953.61"
2025-05-11T00:00:00.000Z,"$3,430,313.09"
2025-05-10T00:00:00.000Z,"$3,185,800.37"
2025-05-09T00:00:00.000Z,"$4,169,350.98"
2025-05-08T00:00:00.000Z,"$4,654,566.60"
2025-05-07T00:00:00.000Z,"$3,560,030.18"
2025-05-06T00:00:00.000Z,"$3,735,434.35"
2025-05-05T00:00:00.000Z,"$3,174,120.18"
2025-05-04T00:00:00.000Z,"$2,892,965.69"
2025-05-03T00:00:00.000Z,"$3,309,145.56"
2025-05-02T00:00:00.000Z,"$3,950,795.09"
2025-05-01T00:00:00.000Z,"$5,478,449.07"
2025-04-30T00:00:00.000Z,"$3,763,174.13"
2025-04-29T00:00:00.000Z,"$4,035,391.78"
2025-04-28T00:00:00.000Z,"$3,828,126.96"
2025-04-27T00:00:00.000Z,"$3,083,478.35"
2025-04-26T00:00:00.000Z,"$3,202,939.01"
2025-04-25T00:00:00.000Z,"$4,111,053.89"
2025-04-24T00:00:00.000Z,"$3,378,846.59"
2025-04-23T00:00:00.000Z,"$3,790,494.47"
2025-04-22T00:00:00.000Z,"$3,277,379.00"
2025-04-21T00:00:00.000Z,"$3,095,097.51"
2025-04-20T00:00:00.000Z,"$2,101,166.77"
2025-04-19T00:00:00.000Z,"$2,384,075.74"
2025-04-18T00:00:00.000Z,"$2,687,462.43"
2025-04-17T00:00:00.000Z,"$3,277,521.60"
2025-04-16T00:00:00.000Z,"$4,028,444.14"
2025-04-15T00:00:00.000Z,"$3,461,065.21"
2025-04-14T00:00:00.000Z,"$3,311,464.59"
2025-04-13T00:00:00.000Z,"$2,666,514.57"
2025-04-12T00:00:00.000Z,"$2,943,927.42"
2025-04-11T00:00:00.000Z,"$2,550,217.75"
2025-04-10T00:00:00.000Z,"$2,597,068.96"
2025-04-09T00:00:00.000Z,"$3,047,222.81"
2025-04-08T00:00:00.000Z,"$2,408,303.58"
2025-04-07T00:00:00.000Z,"$2,256,017.80"
2025-04-06T00:00:00.000Z,"$1,686,741.26"
2025-04-05T00:00:00.000Z,"$1,790,586.89"
2025-04-04T00:00:00.000Z,"$1,914,029.32"
2025-04-03T00:00:00.000Z,"$2,027,375.83"
2025-04-02T00:00:00.000Z,"$2,746,834.50"
2025-04-01T00:00:00.000Z,"$2,822,505.00"
2025-03-31T00:00:00.000Z,"$2,353,302.99"
2025-03-30T00:00:00.000Z,"$1,904,409.54"
2025-03-29T00:00:00.000Z,"$2,115,086.97"
2025-03-28T00:00:00.000Z,"$2,904,026.42"
2025-03-27T00:00:00.000Z,"$2,640,623.89"
2025-03-26T00:00:00.000Z,"$2,754,878.36"
2025-03-25T00:00:00.000Z,"$3,292,344.37"
2025-03-24T00:00:00.000Z,"$2,904,082.09"
2025-03-23T00:00:00.000Z,"$1,633,678.05"
2025-03-22T00:00:00.000Z,"$1,178,315.80"
2025-03-21T00:00:00.000Z,"$1,198,769.17"
2025-03-20T00:00:00.000Z,"$2,008,202.38"
2025-03-19T00:00:00.000Z,"$1,993,931.77"
2025-03-18T00:00:00.000Z,"$1,812,699.42"
2025-03-17T00:00:00.000Z,"$2,191,549.44"
2025-03-16T00:00:00.000Z,"$1,725,442.65"
2025-03-15T00:00:00.000Z,"$2,190,564.56"
2025-03-14T00:00:00.000Z,"$2,019,668.39"
2025-03-13T00:00:00.000Z,"$2,116,349.40"
2025-03-12T00:00:00.000Z,"$2,165,412.16"
2025-03-11T00:00:00.000Z,"$1,983,057.39"
2025-03-10T00:00:00.000Z,"$2,057,078.63"
2025-03-09T00:00:00.000Z,"$1,976,457.57"
2025-03-08T00:00:00.000Z,"$2,376,730.48"
2025-03-07T00:00:00.000Z,"$3,651,656.82"
2025-03-06T00:00:00.000Z,"$2,739,111.14"
2025-03-05T00:00:00.000Z,"$2,782,688.25"
2025-03-04T00:00:00.000Z,"$2,504,381.82"
2025-03-03T00:00:00.000Z,"$3,406,382.45"
2025-03-02T00:00:00.000Z,"$3,149,652.17"
2025-03-01T00:00:00.000Z,"$1,748,399.32"
2025-02-28T00:00:00.000Z,"$2,275,634.23"
2025-02-27T00:00:00.000Z,"$2,552,070.15"
2025-02-26T00:00:00.000Z,"$2,509,205.66"
2025-02-25T00:00:00.000Z,"$3,139,896.79"
2025-02-24T00:00:00.000Z,"$3,524,767.29"
2025-02-23T00:00:00.000Z,"$3,379,691.69"
2025-02-22T00:00:00.000Z,"$3,308,228.65"
2025-02-21T00:00:00.000Z,"$4,140,874.15"
2025-02-20T00:00:00.000Z,"$4,643,419.87"
2025-02-19T00:00:00.000Z,"$5,359,016.65"
2025-02-18T00:00:00.000Z,"$4,924,333.98"
2025-02-17T00:00:00.000Z,"$4,733,236.22"
2025-02-16T00:00:00.000Z,"$4,874,002.19"
2025-02-15T00:00:00.000Z,"$6,067,432.57"
2025-02-14T00:00:00.000Z,"$10,006,535.15"
2025-02-13T00:00:00.000Z,"$8,860,503.37"
2025-02-12T00:00:00.000Z,"$10,523,727.40"
2025-02-11T00:00:00.000Z,"$13,130,314.16"
2025-02-10T00:00:00.000Z,"$14,362,846.60"
2025-02-09T00:00:00.000Z,"$10,242,216.71"
2025-02-08T00:00:00.000Z,"$6,687,742.17"
2025-02-07T00:00:00.000Z,"$9,019,082.72"
2025-02-06T00:00:00.000Z,"$7,647,434.27"
2025-02-05T00:00:00.000Z,"$10,279,827.89"
2025-02-04T00:00:00.000Z,"$10,253,420.57"
2025-02-03T00:00:00.000Z,"$9,618,858.81"
2025-02-02T00:00:00.000Z,"$8,120,744.49"
2025-02-01T00:00:00.000Z,"$11,762,639.49"
2025-01-31T00:00:00.000Z,"$17,552,921.85"
2025-01-30T00:00:00.000Z,"$24,488,168.73"
2025-01-29T00:00:00.000Z,"$15,613,859.12"
2025-01-28T00:00:00.000Z,"$16,451,129.32"
2025-01-27T00:00:00.000Z,"$20,241,851.59"
2025-01-26T00:00:00.000Z,"$20,270,615.21"
2025-01-25T00:00:00.000Z,"$20,715,900.68"
2025-01-24T00:00:00.000Z,"$28,219,936.82"
2025-01-23T00:00:00.000Z,"$33,031,193.06"
2025-01-22T00:00:00.000Z,"$22,153,234.60"
2025-01-21T00:00:00.000Z,"$26,452,654.56"
2025-01-20T00:00:00.000Z,"$49,969,465.29"
2025-01-19T00:00:00.000Z,"$56,820,959.37"
2025-01-18T00:00:00.000Z,"$23,684,651.21"
2025-01-17T00:00:00.000Z,"$10,704,096.89"
2025-01-16T00:00:00.000Z,"$11,060,972.58"
2025-01-15T00:00:00.000Z,"$9,620,468.16"
2025-01-14T00:00:00.000Z,"$10,002,863.96"
2025-01-13T00:00:00.000Z,"$8,102,213.15"
2025-01-12T00:00:00.000Z,"$9,997,015.20"
2025-01-11T00:00:00.000Z,"$10,113,764.50"
2025-01-10T00:00:00.000Z,"$10,110,509.13"
2025-01-09T00:00:00.000Z,"$11,460,274.52"
2025-01-08T00:00:00.000Z,"$11,695,663.40"
2025-01-07T00:00:00.000Z,"$12,264,786.95"
2025-01-06T00:00:00.000Z,"$11,318,123.41"
2025-01-05T00:00:00.000Z,"$10,936,949.12"
2025-01-04T00:00:00.000Z,"$9,811,197.76"
2025-01-03T00:00:00.000Z,"$12,280,716.20"
2025-01-02T00:00:00.000Z,"$9,773,319.86"
2025-01-01T00:00:00.000Z,"$6,736,717.43"
2024-12-31T00:00:00.000Z,"$6,839,240.42"
2024-12-30T00:00:00.000Z,"$6,837,175.57"
2024-12-29T00:00:00.000Z,"$6,943,553.42"
2024-12-28T00:00:00.000Z,"$5,982,099.10"
2024-12-27T00:00:00.000Z,"$6,907,013.45"
2024-12-26T00:00:00.000Z,"$7,702,531.21"
2024-12-25T00:00:00.000Z,"$4,668,955.11"
2024-12-24T00:00:00.000Z,"$5,526,732.91"
2024-12-23T00:00:00.000Z,"$6,480,196.83"
2024-12-22T00:00:00.000Z,"$6,483,037.56"
2024-12-21T00:00:00.000Z,"$7,905,578.21"
2024-12-20T00:00:00.000Z,"$9,516,890.24"
2024-12-19T00:00:00.000Z,"$8,792,343.27"
2024-12-18T00:00:00.000Z,"$9,106,075.26"
2024-12-17T00:00:00.000Z,"$10,853,296.72"
2024-12-16T00:00:00.000Z,"$8,203,583.94"
2024-12-15T00:00:00.000Z,"$6,782,509.56"
2024-12-14T00:00:00.000Z,"$8,884,401.58"
2024-12-13T00:00:00.000Z,"$10,755,639.09"
2024-12-12T00:00:00.000Z,"$11,056,254.14"
2024-12-11T00:00:00.000Z,"$10,521,191.38"
2024-12-10T00:00:00.000Z,"$9,575,618.93"
2024-12-09T00:00:00.000Z,"$8,699,385.75"
2024-12-08T00:00:00.000Z,"$6,647,703.31"
2024-12-07T00:00:00.000Z,"$7,062,743.44"
2024-12-06T00:00:00.000Z,"$8,770,350.77"
2024-12-05T00:00:00.000Z,"$9,060,175.93"
2024-12-04T00:00:00.000Z,"$9,594,124.55"
2024-12-03T00:00:00.000Z,"$10,399,648.17"
2024-12-02T00:00:00.000Z,"$10,594,701.64"
2024-12-01T00:00:00.000Z,"$9,504,072.29"
2024-11-30T00:00:00.000Z,"$9,409,942.01"
2024-11-29T00:00:00.000Z,"$11,999,844.17"
2024-11-28T00:00:00.000Z,"$13,502,514.44"
2024-11-27T00:00:00.000Z,"$15,087,954.85"
2024-11-26T00:00:00.000Z,"$13,507,850.93"
2024-11-25T00:00:00.000Z,"$15,709,994.72"
2024-11-24T00:00:00.000Z,"$15,259,856.58"
2024-11-23T00:00:00.000Z,"$16,947,890.98"
2024-11-22T00:00:00.000Z,"$20,982,673.14"
2024-11-21T00:00:00.000Z,"$25,355,983.27"
2024-11-20T00:00:00.000Z,"$27,608,690.86"
2024-11-19T00:00:00.000Z,"$26,050,760.36"
2024-11-18T00:00:00.000Z,"$24,112,230.78"
2024-11-17T00:00:00.000Z,"$20,750,277.45"
2024-11-16T00:00:00.000Z,"$14,345,683.95"
2024-11-15T00:00:00.000Z,"$19,572,015.04"
2024-11-14T00:00:00.000Z,"$18,659,749.52"
2024-11-13T00:00:00.000Z,"$14,353,418.99"
2024-11-12T00:00:00.000Z,"$11,742,624.33"
2024-11-11T00:00:00.000Z,"$12,117,065.43"
2024-11-10T00:00:00.000Z,"$8,130,229.36"
2024-11-09T00:00:00.000Z,"$6,083,625.42"
2024-11-08T00:00:00.000Z,"$8,448,243.97"
2024-11-07T00:00:00.000Z,"$7,975,787.88"
2024-11-06T00:00:00.000Z,"$8,030,709.10"
2024-11-05T00:00:00.000Z,"$4,961,870.78"
2024-11-04T00:00:00.000Z,"$5,127,724.80"
2024-11-03T00:00:00.000Z,"$5,303,096.60"
2024-11-02T00:00:00.000Z,"$4,754,621.89"
2024-11-01T00:00:00.000Z,"$5,138,845.53"
2024-10-31T00:00:00.000Z,"$6,837,887.13"
2024-10-30T00:00:00.000Z,"$7,045,447.54"
2024-10-29T00:00:00.000Z,"$8,870,834.64"
2024-10-28T00:00:00.000Z,"$7,392,206.01"
2024-10-27T00:00:00.000Z,"$6,706,098.50"
2024-10-26T00:00:00.000Z,"$5,634,537.44"
2024-10-25T00:00:00.000Z,"$7,350,118.91"
2024-10-24T00:00:00.000Z,"$11,089,539.44"
2024-10-23T00:00:00.000Z,"$8,692,105.55"
2024-10-22T00:00:00.000Z,"$7,935,543.37"
2024-10-21T00:00:00.000Z,"$7,604,951.92"
2024-10-20T00:00:00.000Z,"$5,153,929.08"
2024-10-19T00:00:00.000Z,"$7,073,396.82"
2024-10-18T00:00:00.000Z,"$5,157,780.96"
2024-10-17T00:00:00.000Z,"$4,997,713.46"
2024-10-16T00:00:00.000Z,"$5,216,542.59"
2024-10-15T00:00:00.000Z,"$4,507,407.45"
2024-10-14T00:00:00.000Z,"$4,712,179.15"
2024-10-13T00:00:00.000Z,"$3,608,979.53"
2024-10-12T00:00:00.000Z,"$2,767,086.72"
2024-10-11T00:00:00.000Z,"$2,761,080.56"
2024-10-10T00:00:00.000Z,"$2,400,460.68"
2024-10-09T00:00:00.000Z,"$2,969,896.81"
2024-10-08T00:00:00.000Z,"$2,602,322.61"
2024-10-07T00:00:00.000Z,"$2,859,392.42"
2024-10-06T00:00:00.000Z,"$2,348,871.64"
2024-10-05T00:00:00.000Z,"$2,888,382.45"
2024-10-04T00:00:00.000Z,"$2,557,906.50"
2024-10-03T00:00:00.000Z,"$2,679,076.48"
2024-10-02T00:00:00.000Z,"$3,195,435.70"
2024-10-01T00:00:00.000Z,"$2,533,489.87"
2024-09-30T00:00:00.000Z,"$3,251,171.53"
2024-09-29T00:00:00.000Z,"$3,464,484.61"
2024-09-28T00:00:00.000Z,"$3,300,809.14"
2024-09-27T00:00:00.000Z,"$3,530,357.17"
2024-09-26T00:00:00.000Z,"$2,838,376.50"
2024-09-25T00:00:00.000Z,"$1,703,912.99"
2024-09-24T00:00:00.000Z,"$1,475,005.90"
2024-09-23T00:00:00.000Z,"$1,228,152.49"
2024-09-22T00:00:00.000Z,"$1,085,035.28"
2024-09-21T00:00:00.000Z,"$972,387.90"
2024-09-20T00:00:00.000Z,"$1,032,917.58"
2024-09-19T00:00:00.000Z,"$1,176,189.11"
2024-09-18T00:00:00.000Z,"$989,815.19"
2024-09-17T00:00:00.000Z,"$951,052.56"
2024-09-16T00:00:00.000Z,"$828,793.25"
2024-09-15T00:00:00.000Z,"$830,933.36"
2024-09-14T00:00:00.000Z,"$758,882.82"
2024-09-13T00:00:00.000Z,"$1,064,371.59"
2024-09-12T00:00:00.000Z,"$965,066.10"
2024-09-11T00:00:00.000Z,"$930,764.58"
2024-09-10T00:00:00.000Z,"$986,770.12"
2024-09-09T00:00:00.000Z,"$945,619.78"
2024-09-08T00:00:00.000Z,"$698,006.27"
2024-09-07T00:00:00.000Z,"$632,546.24"
2024-09-06T00:00:00.000Z,"$852,904.65"
2024-09-05T00:00:00.000Z,"$939,738.87"
2024-09-04T00:00:00.000Z,"$1,012,896.46"
2024-09-03T00:00:00.000Z,"$1,198,979.58"
2024-09-02T00:00:00.000Z,"$945,542.34"
2024-09-01T00:00:00.000Z,"$896,084.94"
2024-08-31T00:00:00.000Z,"$846,376.20"
2024-08-30T00:00:00.000Z,"$948,941.82"
2024-08-29T00:00:00.000Z,"$1,272,852.17"
2024-08-28T00:00:00.000Z,"$1,214,918.84"
2024-08-27T00:00:00.000Z,"$1,346,111.49"
2024-08-26T00:00:00.000Z,"$1,409,775.58"
2024-08-25T00:00:00.000Z,"$1,060,280.01"
2024-08-24T00:00:00.000Z,"$1,253,709.70"
2024-08-23T00:00:00.000Z,"$1,376,325.42"
2024-08-22T00:00:00.000Z,"$1,122,674.14"
2024-08-21T00:00:00.000Z,"$1,167,406.95"
2024-08-20T00:00:00.000Z,"$1,290,953.74"
2024-08-19T00:00:00.000Z,"$1,864,323.52"
2024-08-18T00:00:00.000Z,"$1,766,609.36"
2024-08-17T00:00:00.000Z,"$1,409,642.39"
2024-08-16T00:00:00.000Z,"$1,683,489.42"
2024-08-15T00:00:00.000Z,"$2,074,458.21"
2024-08-14T00:00:00.000Z,"$2,282,402.70"
2024-08-13T00:00:00.000Z,"$2,869,901.28"
2024-08-12T00:00:00.000Z,"$2,553,903.12"
2024-08-11T00:00:00.000Z,"$2,061,191.05"
2024-08-10T00:00:00.000Z,"$2,474,011.01"
2024-08-09T00:00:00.000Z,"$2,895,090.82"
2024-08-08T00:00:00.000Z,"$3,926,276.72"
2024-08-07T00:00:00.000Z,"$3,662,117.77"
2024-08-06T00:00:00.000Z,"$3,604,743.39"
2024-08-05T00:00:00.000Z,"$3,006,557.55"
2024-08-04T00:00:00.000Z,"$2,018,545.65"
2024-08-03T00:00:00.000Z,"$2,111,907.63"
2024-08-02T00:00:00.000Z,"$3,124,080.68"
2024-08-01T00:00:00.000Z,"$3,463,768.29"
2024-07-31T00:00:00.000Z,"$4,853,930.02"
2024-07-30T00:00:00.000Z,"$4,468,501.32"
2024-07-29T00:00:00.000Z,"$4,483,712.96"
2024-07-28T00:00:00.000Z,"$5,501,207.20"
2024-07-27T00:00:00.000Z,"$4,244,722.27"
2024-07-26T00:00:00.000Z,"$3,417,331.57"
2024-07-25T00:00:00.000Z,"$3,683,143.30"
2024-07-24T00:00:00.000Z,"$2,939,455.84"
2024-07-23T00:00:00.000Z,"$3,141,076.06"
2024-07-22T00:00:00.000Z,"$3,008,694.43"
2024-07-21T00:00:00.000Z,"$2,921,444.62"
2024-07-20T00:00:00.000Z,"$2,164,855.73"
2024-07-19T00:00:00.000Z,"$2,648,362.50"
2024-07-18T00:00:00.000Z,"$2,797,744.72"
2024-07-17T00:00:00.000Z,"$2,822,253.47"
2024-07-16T00:00:00.000Z,"$3,075,544.01"
2024-07-15T00:00:00.000Z,"$3,446,186.15"
2024-07-14T00:00:00.000Z,"$2,704,353.57"
2024-07-13T00:00:00.000Z,"$2,261,562.92"
2024-07-12T00:00:00.000Z,"$2,176,781.49"
2024-07-11T00:00:00.000Z,"$2,061,859.98"
2024-07-10T00:00:00.000Z,"$1,948,312.97"
2024-07-09T00:00:00.000Z,"$2,169,727.60"
2024-07-08T00:00:00.000Z,"$2,247,991.63"
2024-07-07T00:00:00.000Z,"$2,136,211.49"
2024-07-06T00:00:00.000Z,"$2,058,159.91"
2024-07-05T00:00:00.000Z,"$1,866,624.16"
2024-07-04T00:00:00.000Z,"$1,906,530.67"
2024-07-03T00:00:00.000Z,"$2,763,760.23"
2024-07-02T00:00:00.000Z,"$2,450,495.23"
2024-07-01T00:00:00.000Z,"$2,804,425.45"
2024-06-30T00:00:00.000Z,"$2,165,218.75"
2024-06-29T00:00:00.000Z,"$2,079,396.35"
2024-06-28T00:00:00.000Z,"$2,878,327.62"
2024-06-27T00:00:00.000Z,"$3,860,450.90"
2024-06-26T00:00:00.000Z,"$2,675,412.78"
2024-06-25T00:00:00.000Z,"$2,154,746.65"
2024-06-24T00:00:00.000Z,"$2,234,606.67"
2024-06-23T00:00:00.000Z,"$1,867,149.55"
2024-06-22T00:00:00.000Z,"$2,038,415.95"
2024-06-21T00:00:00.000Z,"$2,743,820.83"
2024-06-20T00:00:00.000Z,"$2,992,912.00"
2024-06-19T00:00:00.000Z,"$3,060,264.12"
2024-06-18T00:00:00.000Z,"$3,115,698.85"
2024-06-17T00:00:00.000Z,"$3,558,561.95"
2024-06-16T00:00:00.000Z,"$2,026,687.38"
2024-06-15T00:00:00.000Z,"$1,956,440.35"
2024-06-14T00:00:00.000Z,"$2,683,493.83"
2024-06-13T00:00:00.000Z,"$3,855,178.02"
2024-06-12T00:00:00.000Z,"$4,249,618.85"
2024-06-11T00:00:00.000Z,"$3,510,966.83"
2024-06-10T00:00:00.000Z,"$4,006,888.62"
2024-06-09T00:00:00.000Z,"$3,434,968.55"
2024-06-08T00:00:00.000Z,"$4,351,204.58"
2024-06-07T00:00:00.000Z,"$5,473,060.81"
2024-06-06T00:00:00.000Z,"$4,840,094.77"
2024-06-05T00:00:00.000Z,"$3,400,845.29"
2024-06-04T00:00:00.000Z,"$2,817,674.49"
2024-06-03T00:00:00.000Z,"$3,634,175.94"
2024-06-02T00:00:00.000Z,"$2,816,039.59"
2024-06-01T00:00:00.000Z,"$2,904,509.38"
2024-05-31T00:00:00.000Z,"$3,219,618.56"
2024-05-30T00:00:00.000Z,"$3,860,282.59"
2024-05-29T00:00:00.000Z,"$4,283,062.58"
2024-05-28T00:00:00.000Z,"$3,865,199.59"
2024-05-27T00:00:00.000Z,"$3,813,892.90"
2024-05-26T00:00:00.000Z,"$2,771,358.88"
2024-05-25T00:00:00.000Z,"$2,236,806.57"
2024-05-24T00:00:00.000Z,"$3,073,766.87"
2024-05-23T00:00:00.000Z,"$2,830,508.17"
2024-05-22T00:00:00.000Z,"$2,954,711.47"
2024-05-21T00:00:00.000Z,"$3,056,668.36"
2024-05-20T00:00:00.000Z,"$3,270,184.52"
2024-05-19T00:00:00.000Z,"$2,511,358.63"
2024-05-18T00:00:00.000Z,"$2,565,695.55"
2024-05-17T00:00:00.000Z,"$2,820,225.41"
2024-05-16T00:00:00.000Z,"$3,120,465.81"
2024-05-15T00:00:00.000Z,"$3,142,977.26"
2024-05-14T00:00:00.000Z,"$3,166,196.88"
2024-05-13T00:00:00.000Z,"$3,275,089.73"
2024-05-12T00:00:00.000Z,"$2,298,538.05"
2024-05-11T00:00:00.000Z,"$2,134,949.08"
2024-05-10T00:00:00.000Z,"$2,470,340.53"
2024-05-09T00:00:00.000Z,"$2,656,023.08"
2024-05-08T00:00:00.000Z,"$2,374,655.34"
2024-05-07T00:00:00.000Z,"$3,120,356.86"
2024-05-06T00:00:00.000Z,"$2,875,530.02"
2024-05-05T00:00:00.000Z,"$2,163,361.91"
2024-05-04T00:00:00.000Z,"$2,542,921.66"
2024-05-03T00:00:00.000Z,"$2,548,968.05"
2024-05-02T00:00:00.000Z,"$2,023,198.19"
2024-05-01T00:00:00.000Z,"$1,468,428.51"
2024-04-30T00:00:00.000Z,"$1,680,591.76"
2024-04-29T00:00:00.000Z,"$2,183,833.90"
2024-04-28T00:00:00.000Z,"$1,734,470.21"
2024-04-27T00:00:00.000Z,"$1,701,951.01"
